"year","artists","name"
1999,"['The Roots', 'Tariq Trotter', 'Erykah Badu', 'Eve']","You Got Me"
1999,"['Santana', 'The Product G&B']","Maria Maria (feat. The Product G&B)"
1999,"['Case', 'Joe']","Faded Pictures"
1999,"['Method Man', 'Redman']","Da Rockwilder"
1999,"['John Williams', 'London Symphony Orchestra']","Duel of the Fates"
1999,"['Mariah Carey', 'JAY-Z']","Heartbreaker (feat. Jay-Z)"
1999,"['Eminem', 'Dr. Dre']","Guilty Conscience"
1999,"['Donell Jones', 'Lisa ""Left Eye"" Lopes']","U Know What's Up (feat. Lisa ""Left Eye"" Lopes)"
1999,"['Blaque', '*NSYNC']","Bring It All to Me (feat. *NSYNC)"
1999,"[""Rosie O'Donnell"", 'Phil Collins', 'Cast - Tarzan']","Trashin' The Camp"
1999,"['Santana', 'Rob Thomas']","Smooth (feat. Rob Thomas)"
1999,"['Joe Cocker', 'Jennifer Warnes']","Up Where We Belong - From ""An Officer And A Gentleman"""
1999,"['Glenn Close', 'Phil Collins']","You'll Be In My Heart"
1999,"['Dr. Dre', 'Devin The Dude', 'Snoop Dogg']","Fuck You"
1999,"['Eric Benét', 'Tamia', 'Kevin ""K.D."" Davis']","Spend My Life With You"
1999,"['Nas', 'Diddy']","Hate Me Now (feat. Puff Daddy)"
1999,"['Slick Rick', 'OutKast']","Street Talkin'"
1999,"['DMX', 'Sisqo']","What These Bitches Want"
1999,"['Bob Marley & The Wailers', 'Ms. Lauryn Hill']","Turn Your Lights Down Low"
1999,"['Dr. Dre', 'Eminem', ""Knoc-Turn'al""]","The Watcher"
1999,"['The Ink Spots', 'Ella Fitzgerald']","Into Each Life Some Rain Must Fall - Single Version"
1999,"['Limp Bizkit', 'Method Man']","N 2 Gether Now"
1999,"['The Notorious B.I.G.', 'Eminem']","Dead Wrong (feat. Eminem) - 2005 Remaster"
2000,"['Nelly', 'City Spud']","Ride Wit Me"
2000,"['Eminem', 'Dido']","Stan"
2000,"['Shaggy', 'Rik Rok']","It Wasn't Me"
2000,"['Shaggy', 'Rayvon']","Angel"
2000,"['Ludacris', 'Shawnna']","What's Your Fantasy (Featuring Shawna)"
2000,"['Ja Rule', 'Vita']","Put It On Me"
2000,"['Eminem', 'Dr. Dre', 'Snoop Dogg', 'Xzibit', 'Nate Dogg']","Bitch Please II"
2000,"['The Soggy Bottom Boys', 'Dan Tyminski']","I Am A Man Of Constant Sorrow - Radio Edit"
2000,"['Three 6 Mafia', 'UGK', 'Project Pat']","Sippin On Some Syrup (feat. UGK (Underground Kingz) & Project Pat)"
2000,"['Frédéric Chopin', 'Mikhail Pletnev']","Chopin: Nocturne No. 20 in C-Sharp Minor, Op. Posth."
2000,"['Sammie', 'JT Money']","I Like It"
2000,"['Gillian Welch', 'Alison Krauss']","I'll Fly Away"
2000,"['Hank Williams, Jr.']","A Country Boy Can Survive"
2000,"['Nelly', 'Murphy Lee', 'Ali']","Batter Up"
2000,"['Tear Da Club Up Thugs', 'Three 6 Mafia', 'Project Pat']","Slob On My Nob (feat. Project Pat)"
2000,"['Shyne', 'Barrington Levy']","Bad Boyz (feat. Barrington Levy)"
2000,"['Hank Williams, Jr.']","Family Tradition"
2000,"['Beenie Man', 'Mya']","Girls Dem Sugar"
2000,"['Los Originales De San Juan', 'El Chapo De Sinaloa']","La Caspa Del Diablo"
2000,"['A Touch Of Class', 'Pete Konemann']","Around the World (La La La La La) - Radio Version"
2000,"['Mýa', 'JAY-Z']","Best Of Me, Part 2 - Backstage"
2000,"['Emmylou Harris', 'Alison Krauss', 'Gillian Welch']","Didn't Leave Nobody But The Baby"
2000,"['Mariah Carey', 'Joe', 'Nas', 'Clue', 'Supa Engineer ""Duro""']","Thank God I Found You (feat. Joe & Nas) - Make It Last Remix Edit"
2001,"['Kid Rock', 'Sheryl Crow']","Picture (feat. Sheryl Crow)"
2001,"['Fat Joe', 'Ja Rule', 'Ashanti']","What's Luv? (feat. Ja-Rule & Ashanti)"
2001,"['Ja Rule', 'Ashanti']","Always On Time"
2001,"['Eve', 'Gwen Stefani']","Let Me Blow Ya Mind"
2001,"['Jagged Edge', 'Nelly']","Where the Party At (feat. Nelly)"
2001,"['Christina Aguilera', ""Lil' Kim"", 'Mýa', 'P!nk']","Lady Marmalade - From ""Moulin Rouge"" Soundtrack"
2001,"['Susan Egan', 'Cheryl Freeman', 'LaChanze', 'Vaneese Thomas', 'Lillias White']","I Won't Say (I'm In Love) - From ""Hercules"" / Soundtrack Version"
2001,"['Gary Jules', 'Michael Andrews']","Mad World (Feat. Michael Andrews)"
2001,"['No Doubt', 'Lady Saw']","Underneath It All"
2001,"['Ja Rule', 'Jennifer Lopez']","I'm Real - Murder Remix"
2001,"['Disturbing Tha Peace', 'Ludacris', 'Mystikal', 'I-20']","Move Bitch"
2001,"['Zero 7', 'Sophie Barker']","In The Waiting Line"
2001,"['Jennifer Lopez', 'Ja Rule']","I'm Real (feat. Ja Rule) - Murder Remix"
2001,"['Diddy', 'Black Rob', 'Mark Curry']","Bad Boy for Life"
2001,"['Ricky Martin', 'Alejandro Sanz', 'Thalia', 'Juan Luis Guerra 4.40', 'Gloria Estefan', 'Celia Cruz', 'Olga Tañón', 'Ricardo Montaner', 'Ana Gabriel', 'Jorge Hernández', 'Los Tigres Del Norte', 'Alicia Villarreal', 'Alejandro Fernández', 'Carlos Vives', 'Jaci Velasquez', 'Marco Antonio Solís', 'José José', 'Lucía Méndez', 'Jennifer Lopez', 'Emmanuele', 'Chayanne', 'Gilberto Santa Rosa', 'Paulina Rubio', 'Alberto ""Beto"" Zapata', 'La Ley', 'Ana Bárbara', 'Carlos Ponce', 'Jon Secada', 'Shakira', 'Gian Marco', 'Luis Fonsi', 'Yuri', 'Miguel Bosé', 'Wilkins', 'Giselle', 'Melina Leon', 'Limi-T 21', 'Christina Aguilera', 'José Feliciano', 'José Luis Rodríguez']","El Ultimo Adiós - Varios Artistas Version"
2001,"['Ja Rule', 'Case']","Livin' It Up"
2001,"['Jermaine Dupri', 'Ludacris']","Welcome to Atlanta (feat. Ludacris)"
2001,"['Lupillo Rivera', 'Chalino Sanchez']","Baraja de Oro"
2001,"['Ludacris', 'Nate Dogg']","Area Codes"
2002,"['Eminem', 'Nate Dogg']","'Till I Collapse"
2002,"['Nelly', 'Kelly Rowland']","Dilemma"
2002,"['Ying Yang Twins', 'Lil Jon & The East Side Boyz']","Get Low"
2002,"['Toby Keith', 'Willie Nelson']","Beer For My Horses"
2002,"['Aventura', 'Judy Santos']","Obsesion"
2002,"['Eminem', 'Dina Rae']","Superman"
2002,"['Ja Rule', 'Ashanti']","Mesmerize"
2002,"[""Mark Keali'i Ho'omalu"", ""Kamehameha Schools Children's Chorus""]","Hawaiian Roller Coaster Ride - From ""Lilo & Stitch""/Soundtrack Version"
2002,"['Grits', 'TobyMac']","Ooh Ahh (My Life Be Like) (feat. Toby Mac)"
2002,"['Cam’ron', 'Juelz Santana']","Oh Boy"
2002,"['Nivea', 'Brian Casey', 'Brandon Casey']","Don't Mess With My Man (feat. Brian Casey & Brandon Casey)"
2002,"[""Mark Keali'i Ho'omalu"", ""Kamehameha Schools Children's Chorus""]","He Mele No Lilo - From ""Lilo & Stitch""/Soundtrack Version"
2002,"['Jennifer Lopez', 'Jadakiss', 'Styles P']","Jenny from the Block (feat. Jadakiss & Styles P.) - Track Masters Remix"
2002,"['Counting Crows', 'Vanessa Carlton']","Big Yellow Taxi"
2002,"['Nelly', 'Murphy Lee', 'Ali', 'Kyjuan']","Air Force Ones"
2002,"['Cam’ron', 'Juelz Santana', 'Freekey Zeekey', 'Toya']","Hey Ma"
2002,"['Busta Rhymes', 'Mariah Carey', 'Flipmode Squad']","I Know What You Want (feat. Flipmode Squad)"
2002,"['Christina Aguilera', 'Redman']","Dirrty (feat. Redman)"
2002,"['George Frideric Handel', 'Alexander Briger', 'Academy of St. Martin in the Fields']","Handel / Orch. Hale: Keyboard Suite in D Minor, HWV 437: III. Sarabande"
2002,"['Eartha Kitt', 'Henri Rene & His Orchestra']","Santa Baby (with Henri René & His Orchestra)"
2002,"['Sean Paul', 'Sasha', 'Jeremy Harding', 'Murray Elias']","I'm Still in Love with You (feat. Sasha)"
2002,"['JAY-Z', 'Beyoncé']","03' Bonnie & Clyde"
2002,"['2Pac', 'Anthony Hamilton']","Thugz Mansion - 7 Remix"
2002,"['Tweet', 'Missy Elliott']","Oops (Oh My) [feat. Missy Elliott]"
2002,"['The Roots', 'Cody Chesnutt']","The Seed (2.0)"
2002,"['Diddy', 'Ginuwine', 'Loon', 'Mario Winans', 'Tammy Ruggieri']","I Need A Girl PT II - Album Version (Edited)"
2002,"['DJ Sammy', 'D/O']","Heaven"
2002,"['Snoop Dogg', 'Pharrell Williams', 'Uncle Charlie Wilson']","Beautiful"
2002,"['Santana', 'Michelle Branch']","The Game of Love (feat. Michelle Branch) - Main / Radio Mix"
2002,"['Eminem', 'Hailie Jade']","My Dad's Gone Crazy"
2002,"['Juanes', 'Nelly Furtado']","Fotografía"
2002,"[""Martin O'Donnell"", 'Michael Salvatori']","Halo"
2003,"['Beyoncé', 'JAY-Z']","Crazy In Love (feat. Jay-Z)"
2003,"['Baby Bash', 'Frankie J']","Suga Suga"
2003,"['50 Cent', 'Nate Dogg']","21 Questions"
2003,"['Juvenile', 'Soulja Slim']","Slow Motion"
2003,"['Fabolous', 'Tamia']","Into You (feat. Tamia)"
2003,"['OutKast', 'Sleepy Brown']","The Way You Move (feat. Sleepy Brown)"
2003,"['Lionel Richie', 'Diana Ross']","Endless Love - From ""The Endless Love"" Soundtrack"
2003,"['Brad Paisley', 'Alison Krauss']","Whiskey Lullaby (feat. Alison Krauss)"
2003,"['50 Cent', 'Eminem']","Patiently Waiting"
2003,"['Ying Yang Twins', 'Lil Jon & The East Side Boyz']","Salt Shaker"
2003,"['Murphy Lee', 'Nelly', 'Diddy']","Shake Ya Tailfeather - Radio Edit"
2003,"['Pharrell Williams', 'JAY-Z']","Frontin' (feat. Jay-Z) - Club Mix"
2003,"['Fabolous', 'Mike Shorey', ""Lil' Mo""]","Can't Let You Go (feat. Mike Shorey & Lil' Mo)"
2003,"['Chingy', 'Ludacris', 'Snoop Dogg']","Holidae In"
2003,"['Baby Bash', 'Frankie J']","Suga Suga"
